"BehaviorSpace results (NetLogo 5.0.5)"
"PTM_R.nlogo"
"sire-offspring"
"04/27/2014 11:40:40:533 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","0","4"
"[run number]","initial-males","distribution","male-min-resources","distance-trees","x-num-territories","regeneration-time","female-min-resources","age-of-dispersal","stop-ticks","prob-subordinate-win","create-figures","total-trees","table-name1","cost-offspring","initial-females","table-name2","y-num-territories","energy-to-reproduce","export-tables","[step]","length [offspring-sired] of males"
"1","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"2","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"3","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"4","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"5","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"6","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"7","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"8","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"9","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"10","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"11","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"12","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"13","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"14","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"15","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"16","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"17","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"18","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
